#{"t_start": 1776489777.5702183, "env_id": "None"}
r,l,t
-81.0,41,643.302747
2.0,35,643.660861
-22.0,39,643.661114
-23.0,25,643.661207
-310.0,236,644.014301
-194.0,150,649.168836
-14348.0,2005,649.502413
-197.0,77,649.838102
-189.0,39,650.861299
-282.0,134,653.590828
-157.0,49,654.61414
-113.0,41,657.289347
36.0,40,657.289593
28.0,126,657.648259
-172.0,47,657.6485
-272.0,55,658.692979
-112.0,45,659.058431
-274.0,64,660.101324
-98.0,51,661.170148
96.0,122,661.170399
-289.0,100,662.204983
-415.0,96,662.899144
-202.0,36,663.239607
5.0,18,663.947882
-58.0,23,707.044177
-70.0,74,708.92871
-129.0,24,708.928969
-5.0,53,709.571977
-57.0,47,712.135256
-629.0,102,712.135481
11.0,41,712.779289
-47.0,37,712.779554
-172.0,40,712.779645
-66.0,34,713.090202
-27.0,24,713.404376
-20.0,28,714.043277
-2.0,25,714.997667
-306.0,75,716.312426
-81.0,42,716.631493
-73.0,25,716.954758
-135.0,30,719.247342
-44.0,22,720.519111
159.0,58,722.772986
-6.0,35,723.42909
-81.0,36,724.401722
22.0,39,724.724535
-111.0,32,725.392595
23.0,31,726.366378
-22.0,18,726.366645
-37.0,42,726.366727
419.0,129,726.689696
-75.0,46,727.657912
-51.0,38,728.943337
61.0,37,728.943614
58.0,51,729.581821
225.0,152,730.22307
-1831.0,278,730.54394
153.0,86,732.474434
14.0,19,732.474703
-197.0,134,735.034764
-238.0,124,735.995513
-4.0,39,735.995799
-5444.0,868,736.312853
-152.0,87,736.953249
27.0,40,737.270144
-178.0,188,738.232741
-54.0,50,738.865813
-560.0,295,739.182627
-55.0,45,739.825933
-78.0,23,739.826221
-599.0,226,740.462305
-80.0,37,740.78029
-6.0,46,741.099265
-513.0,169,741.41928
-7.0,49,742.062231
-111.0,46,742.390661
73.0,57,743.035545
54.0,54,746.226706
-94.0,21,746.551263
75.0,30,746.879617
-65.0,39,748.478866
162.0,56,750.394513
-274.0,148,750.713244
11.0,35,751.987303
-148.0,45,752.626435
39.0,122,753.267627
-104.0,23,753.912452
37.0,34,753.912741
-192.0,60,754.235957
-426.0,234,754.562841
-31.0,47,755.53823
-154.0,42,755.861068
-78.0,49,757.173267
-81.0,38,759.29038
18.0,21,761.029724
621.0,108,761.71725
-87.0,79,762.772846
155.0,44,763.12952
-19.0,35,763.82309
144.0,140,764.875952
-129.0,56,764.876251
-79.0,80,765.586021
685.0,78,765.586318
-45.0,36,765.58646
-27.0,19,767.649022
-142.0,42,768.359512
-62.0,44,770.789171
-62.0,86,770.789437
13.0,39,772.875141
-66.0,52,773.912078
-108.0,49,774.270802
-152.0,63,774.271275
-122.0,25,774.271404
-345.0,119,775.645659
32.0,31,775.645958
-56.0,24,776.003711
-76.0,82,778.424497
-76.0,42,778.424762
22.0,120,779.153225
-69.0,50,780.544086
73.0,20,781.247729
-53.0,36,783.303869
-43.0,22,783.641873
124.0,55,783.997179
-257.0,56,785.019038
5.0,169,786.073155
-146.0,40,786.783102
-71.0,63,787.453582
-54.0,48,787.453937
604.0,175,788.735463
-32.0,46,790.018768
-129.0,26,790.019082
-20.0,45,790.97577
-95.0,85,791.931932
-15.0,56,792.889886
-5707.0,813,793.530014
-129.0,116,793.85608
14.0,40,793.856315
-71.0,18,794.491864
-166.0,177,795.446991
-126.0,53,796.085079
258.0,134,796.085349
-130.0,34,796.085439
-70.0,54,796.404604
33.0,20,797.353341
-114.0,43,800.530587
-5.0,19,800.530876
20.0,33,800.530977
-184.0,54,800.851206
297.0,54,801.491623
-44.0,100,801.811114
-198.0,88,803.400409
-185.0,55,803.72065
-60.0,25,804.04006
-95.0,39,805.317892
-12.0,37,807.867488
387.0,140,808.509263
-106.0,54,811.057305
-19.0,38,813.931288
102.0,46,815.213183
-33.0,37,815.213506
78.0,36,815.537127
-75.0,57,815.53736
-73.0,71,816.55594
-172.0,64,816.902321
48.0,35,819.256794
117.0,46,820.230296
-107.0,76,820.552894
-85.0,62,820.87741
3.0,21,822.497235
-52.0,59,822.817512
158.0,73,824.108098
-167.0,100,824.108449
16.0,32,826.038048
-198.0,155,826.357863
-183.0,50,827.327621
-87.0,43,827.982452
-1738.0,563,827.982811
416.0,82,827.982908
-28.0,46,830.24987
11.0,34,830.2502
-58.0,24,831.915048
-142.0,43,834.139344
54.0,38,834.785795
-44.0,29,835.413555
-91.0,65,836.363055
-106.0,51,837.321246
-63.0,46,837.637922
115.0,93,838.604145
617.0,119,838.954432
73.0,58,839.31257
15.0,18,840.618996
-239.0,75,841.264056
55.0,41,841.264405
-160.0,41,841.264505
-40.0,43,841.264593
14.0,38,842.530363
451.0,172,842.849554
-49.0,40,843.168001
30.0,34,845.084224
-90.0,172,845.401883
-272.0,192,845.721179
171.0,206,846.040736
37.0,48,847.335248
210.0,73,847.655806
-102.0,64,848.609789
-221.0,191,848.923863
162.0,40,850.194293
-35.0,19,851.764254
11.0,30,852.093364
-135.0,36,852.735881
-250.0,83,853.063186
78.0,33,853.700478
-126.0,40,854.033759
-240.0,53,854.677798
61.0,50,855.316648
-80.0,60,855.635881
20.0,26,856.915676
-148.0,51,857.563451
25.0,38,858.203651
127.0,41,858.203907
-76.0,21,858.524853
-916.0,202,858.525099
-160.0,63,860.757534
-172.0,69,861.085661
-8.0,38,862.368528
-17.0,29,863.011589
-230.0,41,865.27997
-129.0,38,865.280239
65.0,93,865.28032
-42.0,42,866.249529
-38.0,43,867.86268
117.0,75,871.689993
-241.0,49,872.656379
144.0,81,873.314464
-42.0,56,873.314807
69.0,26,873.637153
-163.0,79,874.282579
-63.0,52,874.282863
-241.0,65,875.562974
-9.0,54,875.563243
-127.0,108,875.881429
-107.0,65,876.519769
-110.0,44,876.520025
-44.0,33,876.838561
-61.0,51,879.637111
-121.0,197,880.340774
-227.0,48,881.062096
303.0,67,882.824492
-105.0,30,883.565998
-79.0,34,885.022369
55.0,30,886.137057
356.0,152,888.711542
-59.0,42,889.077074
87.0,63,889.443583
-91.0,142,889.822324
-145.0,46,890.541808
-111.0,42,891.648804
-80.0,53,892.345973
-107.0,26,892.346239
153.0,58,893.046095
-225.0,46,893.397597
22.0,28,893.76672
-97.0,41,894.477439
-148.0,54,894.833386
55.0,108,895.19466
-97.0,56,896.574717
-170.0,44,896.928143
143.0,63,898.314487
115.0,121,899.401878
-14.0,29,901.898945
-46.0,28,902.257944
-771.0,132,903.68156
-78.0,26,904.377693
-47.0,53,905.084103
45.0,32,905.808798
-55.0,49,906.521025
-163.0,50,906.521292
22.0,61,906.875488
-1.0,37,907.859825
0.0,42,907.860092
62.0,52,907.860211
195.0,137,908.185376
-138.0,42,908.185645
-145.0,49,909.461701
-57.0,21,911.375615
-82.0,30,912.332746
-47.0,64,912.641306
-97.0,48,913.262342
6.0,29,915.124602
-722.0,148,915.780234
-120.0,42,915.780501
236.0,67,916.435092
-130.0,22,916.435394
87.0,66,918.712692
15.0,34,918.712964
-147.0,25,919.36425
106.0,45,919.697544
-47.0,41,919.698014
-54.0,37,920.023354
44.0,38,920.023666
27.0,69,921.296249
-93.0,31,922.247838
74.0,26,923.520736
-4131.0,585,923.852578
59.0,35,923.85292
27.0,24,924.183173
-64.0,51,924.183481
-138.0,76,924.512927
-56.0,37,925.168268
100.0,107,925.820516
-122.0,23,926.154177
-20.0,32,926.154452
-223.0,161,926.472351
-65.0,37,928.40246
-41.0,28,929.040293
-138.0,33,929.988332
153.0,37,930.619994
-25.0,36,931.578925
-190.0,152,931.9165
-21.0,30,931.916767
4.0,20,932.565023
-49.0,30,933.932521
-228.0,85,934.295291
-156.0,47,934.980798
21.0,34,935.307669
-140.0,38,935.973556
-10.0,23,937.658894
60.0,43,939.437538
-3.0,65,941.275459
-12.0,46,941.628452
-62.0,23,942.003511
-137.0,29,942.750771
-82.0,33,943.460208
-62.0,46,944.90654
26.0,41,945.938912
-127.0,93,946.953433
8.0,26,946.953715
-19.0,29,949.856811
-215.0,71,950.228744
-69.0,27,951.688692
-37.0,25,951.688918
2.0,52,952.792968
-15.0,49,952.79328
10.0,93,953.155673
391.0,139,953.155956
55.0,19,953.873769
-43.0,30,954.232787
-145.0,55,954.591963
-138.0,90,955.664802
-229.0,87,956.760402
-137.0,42,956.760702
46.0,72,957.488639
-123.0,45,957.488906
-68.0,61,957.853122
-315.0,100,958.567839
-137.0,39,958.918396
-104.0,81,959.282215
18.0,88,959.282451
-39.0,26,961.077493
-86.0,24,962.505834
34.0,162,963.223238
-41.0,41,964.654045
95.0,37,966.072853
-525.0,124,967.101381
-11.0,37,967.721415
-245.0,61,967.721678
-93.0,39,968.035302
-46.0,20,969.281837
-979.0,194,969.60264
-23.0,34,970.849077
11.0,40,971.168113
14.0,36,971.168383
-17.0,47,971.794068
-35.0,46,972.428337
-46.0,47,973.368829
-142.0,46,973.369641
208.0,64,973.687048
13.0,46,973.999525
-153.0,62,973.999742
-51.0,33,975.223598
-59.0,24,976.766386
52.0,33,977.394421
110.0,35,978.97073
-75.0,49,981.554229
-9.0,34,981.882858
0.0,37,982.528805
-20.0,33,982.858455
-136.0,49,983.180812
-5.0,41,984.139306
-73.0,24,984.462995
